Station_ID,Station_Name,Report_Time,Rainfall (mm),Temperature (°C),RH (%)
43404,JAFFNA,2025-05-28 1130,0,33,73
43410,MULLAITTIVU,2025-05-28 1130,0,34,50
43413,MANNAR,2025-05-28 1130,0,31.9,78
43415,VAVUNIYA,2025-05-28 1130,0,33,62
43418,TRINCOMALEE,2025-05-28 1130,0,33.5,55
43421,ANURADHAPURA,2025-05-28 1130,0,32.8,63
43422,MAHA ILLUPPALLAMA,2025-05-28 1130,0,30.6,70
43424,PUTTALAM,2025-05-28 1130,0,31.4,73
43436,BATTICALOA,2025-05-28 1130,0,34.8,51
43441,KURUNEGALA,2025-05-28 1130,8.7,27.7,90
43444,KANDY,2025-05-28 1130,6.1,26.8,77
43450,KATUNAYAKE,2025-05-28 1130,6.3,31.5,75
43466,COLOMBO,2025-05-28 1130,0,30.3,69
43467,RATMALANA,2025-05-28 1130,0,31.4,75
43473,NUWARA ELIYA,2025-05-28 1130,3.2,16.6,85
43476,BANDARAWELA,2025-05-28 1130,0,24.2,62
43479,BADULLA,2025-05-28 1130,0,30,49
43486,RATNAPURA,2025-05-28 1130,0.5,28.9,80
43495,GALLE,2025-05-28 1130,0,29.2,87
43497,HAMBANTOTA,2025-05-28 1130,6.4,29,85
43999,POTTUVIL,2025-05-28 1130,0,36.5,50
330601,MATTALA,2025-05-28 1130,0,31.5,68
821501,MONARAGALA,2025-05-28 1130,0,32.4,58
721501,POLONNARUWA,2025-05-28 1130,0,32.5,58
